design,temperature,predicted_power,real_power
aes,230,14702.484356689452,14096.43
i2c,230,658.8176276397705,676.09
wb_dma,230,2408.129795837402,2432.71
pci,230,12520.691188354493,12227.15
dynamic_node,230,12566.280177612305,12328.18
sasc,240,538.1228544616699,514.8
des3_area,240,3343.7496874999997,3352.51
ethernet,240,44733.83922851563,44688.2
ss_pcm,240,354.6681258392334,336.11
ac97_ctrl,240,8717.263112792969,8314.58
spi,240,2234.2441833496096,2064.44
fpu,240,22649.89098022461,23060.0
tv80,240,5260.361213684082,5364.57
simple_spi,240,590.7516724395753,624.2
usb_phy,240,369.1791568756103,397.62
aes,240,14702.495831298827,15019.69
i2c,240,658.8158824157715,682.71
wb_dma,240,2408.1250885009763,2374.15
pci,240,12520.680095214844,12248.75
dynamic_node,240,12566.275813598633,12422.18
sasc,250,538.1388475799561,533.86
des3_area,250,3343.7484629821774,3368.77
ethernet,250,44733.838984375005,46980.23
ss_pcm,250,354.6684977722168,330.17
ac97_ctrl,250,8717.268697509766,8457.36
spi,250,2234.2424438476564,2020.92
fpu,250,22649.891712646484,22174.76
tv80,250,5260.362899780273,5258.28
simple_spi,250,590.7499291229249,624.73
usb_phy,250,369.1785617828369,390.26
aes,250,14702.481167602538,14760.37
i2c,250,658.8140780639649,692.46
wb_dma,250,2408.127270507812,2347.24
pci,250,12520.694713134766,12751.11
dynamic_node,250,12566.293162841797,12558.26
sasc,260,538.1243631744385,534.89
des3_area,260,3343.751217193603,3372.86
ethernet,260,44733.84166992188,43234.8
ss_pcm,260,354.67091056823733,330.17
ac97_ctrl,260,8717.27091003418,8455.77
spi,260,2234.2433174133303,2295.43
fpu,260,22649.89047668457,22652.95
tv80,260,5260.36247253418,5281.18
simple_spi,260,590.7514206695557,620.57
usb_phy,260,369.1906467437744,397.51
aes,260,14702.484967041015,14481.65
i2c,260,658.8170878601074,707.06
wb_dma,260,2408.1263587951657,2376.57
pci,260,12520.686137695313,12500.71
dynamic_node,260,12566.279994506836,12279.22
sasc,270,538.1253740692139,535.45
des3_area,270,3343.751705474853,3354.07
ethernet,270,44733.83922851563,46774.31
ss_pcm,270,354.6692511749268,325.82
ac97_ctrl,270,8717.26942993164,8447.27
spi,270,2234.2455184936525,2323.07
fpu,270,22649.88983581543,22568.69
tv80,270,5260.36413192749,5279.1
simple_spi,270,590.7496697235108,619.98
